"Tumor","psi_1_mean","psi_1_lower","psi_1_upper","psi_2_mean","psi_2_lower","psi_2_upper","psi_3_mean","psi_3_lower","psi_3_upper","X_mean","X_lower","X_upper","N_mean","N_lower","N_upper","phi_mean","phi_lower","phi_upper"
"TARGET.30.PARASL.01A",0.130571268235798,0.0719660189728048,0.196576007966695,0.429982149750144,0.256374058856458,0.591177639703051,0.439446582014058,0.316399192494549,0.571274868814624,0.365129941810368,0.319600329775873,0.401770501151017,17.8227211771836,13.5869752292339,24.4959762585969,0.661091131858396,0.509716659899756,0.813650767376474
"TARGET.30.PARBAJ.01A",0.211839131966227,0.177389167638414,0.248124133822499,0.575734994398129,0.518425727051662,0.629930986573993,0.212425873635644,0.175889113622405,0.249797074850513,0.238016833861589,0.220761646617003,0.256027879116949,19.8031182958598,16.3840793012368,23.1696239270205,0.323463466153805,0.29127118405897,0.358777069166653
"TARGET.30.PARBGP.01A",0.247603199174432,0.218469548094942,0.278920487437428,0.337797170243707,0.295627543021376,0.380123989320592,0.414599630581861,0.37847376009438,0.452034439304658,0.209926407060475,0.199909371408438,0.220607416120474,19.7923879394847,17.2717487809932,22.4199016449313,0.27232224213561,0.25526178704298,0.290995097514293
"TARGET.30.PARBLH.01A",0.274874963089113,0.1615213562832,0.407328397493764,0.509429315449804,0.303894688467172,0.69995368270795,0.215695721461084,0.102521791933731,0.333159136432637,0.401460539860692,0.337651206475036,0.49205481230668,16.2849511074267,11.4781163322139,24.0561886550136,0.908829843156038,0.56243051561334,2.07102083745323
"TARGET.30.PARCET.01A",0.365177109540659,0.29430298754145,0.471633790114607,0.503816890821719,0.354749480166128,0.604786654810076,0.131005999637623,0.0860470492113612,0.187343482998164,0.323662736788657,0.295550986315198,0.364447750761362,21.1066496191551,15.1541138928557,27.3746303465555,0.523761381692877,0.44714473793976,0.65262546460108
"TARGET.30.PARCWT.01A",0.084428605638409,0.0503509774734873,0.125092105878043,0.42763678514223,0.324984585630699,0.512513124600789,0.487934609219361,0.420811129657592,0.569193386663183,0.342895002347464,0.324596853952115,0.365975553518151,26.292410901334,20.6309735763157,32.2907652924236,0.579970512648307,0.52376054114708,0.65829293935608
"TARGET.30.PARDCK.01A",0.314023543958752,0.279404024474447,0.350716941210246,0.469896332002496,0.421207486862463,0.517709144871928,0.216080124038752,0.184149098112159,0.248824839034187,0.232001784433987,0.21915572852134,0.245845184826516,20.8420602096509,17.6381894984428,23.9862586478314,0.311975453356791,0.288403888414133,0.338332254296156
"TARGET.30.PARDIW.01A",0.0872188873198177,0.0609905595341755,0.11472089918847,0.391287884025816,0.338739562664958,0.442475982806104,0.521493228654367,0.479340023931943,0.563809487156948,0.267607962541133,0.255736488602661,0.280080201467882,21.6714709843698,18.2874732061076,25.03330772288,0.383267904369173,0.358180245600395,0.410672585344611
"TARGET.30.PARDUJ.01A",0.308298590141251,0.233905000513458,0.40597062969668,0.473730685023218,0.31048957057227,0.601518835542253,0.217970724835532,0.152568087799862,0.297603950556935,0.343544500836634,0.311640899639976,0.384936548479353,21.419614422682,14.6196909462138,28.8551625456354,0.585284958495508,0.488128924638162,0.734562186829753
"TARGET.30.PARDVT.01A",0.213401566259506,0.166662204994046,0.273768442574268,0.436578025739837,0.305798349638643,0.528759525977761,0.350020408000657,0.287998703172244,0.434700408692362,0.320466625134918,0.297709903367142,0.350582190733327,22.7598831632033,17.0891534662115,29.0626858268214,0.513670582861875,0.45245265493541,0.603930813828548
"TARGET.30.PARDYU.01A",0.218502185160354,0.182799549611872,0.254746805115736,0.601779880879166,0.544179902842907,0.662117723860126,0.179717933960481,0.141710108149002,0.21792096756379,0.207640825791682,0.187823985378236,0.22829076036835,15.3979132959698,12.5747392118348,18.1282211718786,0.268624040218788,0.235520460136458,0.304937787999783
"TARGET.30.PAREGK.01A",0.167606250858639,0.128156338018914,0.214549627570444,0.347571615791224,0.238623618646772,0.435625692757662,0.484822133350137,0.420683741516196,0.560956435611784,0.314471968786676,0.295708233968356,0.335553367875163,21.1144791858513,17.1381358520555,25.5034082637138,0.49648063678604,0.447529450366454,0.556011003529075
"TARGET.30.PARETE.01A",0.240700597062979,0.21059950542109,0.272355416433293,0.374653553346844,0.329134204880367,0.421119424916696,0.384645849590177,0.346276194148874,0.423896199135564,0.220626763194291,0.209258573448229,0.232818665562759,19.1609838320024,16.4400291304376,21.9015992414522,0.291146262288443,0.271086897406184,0.313340257675848
"TARGET.30.PARFRE.01A",0.122294807312461,0.0945441079985294,0.151830070469736,0.515392146550195,0.458207924954075,0.56952090175548,0.362313046137344,0.319903556656334,0.408407215108509,0.260360673843023,0.245343809051144,0.277790649214743,21.046253346807,17.162398921642,24.9390543921678,0.368041482520369,0.337346866924161,0.405494069779509
"TARGET.30.PARFWB.01A",0.152973760023244,0.121154848485767,0.186302443351472,0.379136498883551,0.31458888424551,0.438875230514467,0.467889741093204,0.42231147450046,0.517599726376282,0.252765190462441,0.237601352884756,0.269726415488914,18.226481732155,15.1772242919916,21.3089240697306,0.352408249683334,0.322371598787852,0.38766999928262
"TARGET.30.PARGDJ.01A",0.423938856324201,0.373845094183573,0.480484450590396,0.470326935666074,0.399269471980785,0.533223848928926,0.105734208009726,0.0762194682569701,0.137430953210521,0.278748053391323,0.261867209184243,0.299825345012396,20.6225626767827,16.4234816062596,24.874541086163,0.408123810360442,0.370889817885162,0.457708919011005
"TARGET.30.PARGKK.01A",0.248370105516825,0.21471080301418,0.28304637337519,0.3593717232277,0.3083917952557,0.408058723019325,0.392258171255474,0.354544047264578,0.432127583248173,0.273380050589503,0.262733207191904,0.285580317505969,26.5738986796502,22.240136729125,30.9303246338624,0.395829301878508,0.372711441185582,0.423336435399508
"TARGET.30.PARGUX.01A",0.537627645949569,0.496231076362338,0.577269959771558,0.386638035797006,0.343985728432218,0.430886318358018,0.0757343182534254,0.0556558989889838,0.0979293639705984,0.185917594225147,0.174720888103177,0.197398984664779,18.5374815557278,16.0019956372945,21.1398116965006,0.232559210056706,0.214962239413797,0.251096470851412
"TARGET.30.PARHAM.01A",0.237949058298198,0.199789398138432,0.280614808736929,0.425856864233917,0.3453304935668,0.490885466732722,0.336194077467886,0.290281528998223,0.389979499241032,0.274320179987004,0.257318862865777,0.297181193639992,20.7139835261146,16.4814318514125,24.7170311378118,0.398231140242757,0.361429854837258,0.451147548826753
"TARGET.30.PARHYL.01A",0.273547553401432,0.241904047913246,0.305518463343684,0.387923168058318,0.34624645350497,0.430211756355608,0.338529278540251,0.303593554358198,0.374018949881347,0.200168153897469,0.189804456763338,0.210999327189579,20.0192138145819,17.3938199494016,22.6903263418293,0.255774240716274,0.238702607619906,0.274089541127328
"TARGET.30.PARIKF.01A",0.207919475491884,0.167703877779677,0.257786206751773,0.491507337978142,0.377434964317326,0.570144977549695,0.300573186529975,0.247199009383931,0.376872098244592,0.271808495558415,0.248086371319621,0.309459523019773,17.8449957134385,13.1544119189321,22.2338250657984,0.393404567398617,0.342760906614609,0.482371724955258
"TARGET.30.PARIRD.01A",0.246959932880988,0.204130189571201,0.295026300957838,0.522700780543764,0.445443573564287,0.592654133592139,0.230339286575248,0.187558037529698,0.277794969411245,0.249648424536518,0.229288845593737,0.276403846942147,17.6963406567871,13.8698437451342,21.3232849211507,0.346443946099785,0.306777848557338,0.402383281146937
"TARGET.30.PARJVP.01A",0.279819045574307,0.125002538415044,0.483196980097598,0.584137164645663,0.320515468421526,0.799593561968591,0.13604378978003,0.0624694490468676,0.25088131234721,0.374843865601254,0.260114782735943,0.465710950814973,14.1407106398886,10.2922193478995,21.7595922555101,0.76514491218915,0.367223775448999,1.33989104361837
